film_id;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
116;2062;Ratatouille;150000000;12.648;2007;623722818;7.6;7776;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
117;567;Rear Window;1000000;12.407;1954;36764313;8.3;2524;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
118;223;Rebecca;1288000;7.782;1940;6000000;7.9;558;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
119;641;Requiem for a Dream;4500000;5.862;2000;7390108;8.0;4246;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
120;500;Reservoir Dogs;10000000;11.567;1992;0;8.1;6165;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
121;1366;Rocky;1000000;18.355;1976;117235147;7.7;3148;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
122;804;Roman Holiday;1500000;7.355;1953;12000000;7.9;809;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
123;1580;Rope;1500000;8.458;1948;2200000;8.0;924;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
124;805;Rosemary's Baby;3200000;8.388;1968;33395426;7.7;1519;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
125;857;Saving Private Ryan;70000000;17.786;1998;481840909;8.0;7423;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
126;111;Scarface;25000000;14.652;1983;65884703;8.1;4764;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
127;424;Schindler's List;22000000;34.963;1993;321365567;8.5;6928;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
128;807;Se7en;33000000;15.604;1995;327311859;8.3;9255;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
129;11324;Shutter Island;80000000;17.014;2010;294804195;8.0;10897;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
130;187;Sin City;40000000;13.63;2005;158733820;7.4;4080;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
131;872;Singin' in the Rain;2540800;9.433;1952;7200000;8.1;1202;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
132;993;Sleuth;0;7.094;1972;0;7.8;229;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
133;12405;Slumdog Millionaire;15000000;10.111;2008;377910544;7.7;4923;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
134;107;Snatch;10000000;13.37;2000;83557872;7.8;4211;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
135;239;Some Like It Hot;2883848;10.92;1959;25000000;8.2;1353;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
136;235;Stand by Me;8000000;11.331;1986;52287414;7.9;2490;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
137;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
138;1892;Star Wars: Episode VI - Return of the Jedi;32350000;11.945;1983;572700000;8.0;7280;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
139;845;Strangers on a Train;1200000;7.959;1951;7000000;7.8;602;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
140;599;Sunset Boulevard;1752000;8.186;1950;5000000;8.4;896;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
141;7508;Taare Zameen Par;2600000;6.728;2007;28430000;8.0;327;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
142;103;Taxi Driver;1300000;13.523;1976;28262574;8.1;4466;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
143;280;Terminator 2: Judgment Day;102000000;20.275;1991;520000000;7.9;5995;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
144;284;The Apartment;3000000;8.131;1960;25000000;8.2;790;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
145;74643;The Artist;15000000;6.535;2011;133432856;7.4;1578;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
146;24428;The Avengers;220000000;42.2;2012;1519557910;7.6;17138;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
147;887;The Best Years of Our Lives;2100000;8.178;1946;23650000;7.8;209;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
148;115;The Big Lebowski;15000000;12.484;1998;46189568;7.9;4795;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;910;The Big Sleep;0;7.546;1946;0;7.7;383;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
150;2503;The Bourne Ultimatum;70000000;13.724;2007;442824138;7.3;4018;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
151;826;The Bridge on the River Kwai;3000000;7.882;1957;27200000;7.9;816;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
152;155;The Dark Knight;185000000;28.295;2008;1004558444;8.4;17035;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
153;11778;The Deer Hunter;15000000;10.783;1978;50000000;8.0;1519;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
154;1422;The Departed;90000000;14.509;2006;289847354;8.1;6883;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
155;1955;The Elephant Man;5000000;8.125;1980;26010864;8.0;1255;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
156;9552;The Exorcist;8000000;15.061;1973;441306145;7.6;3377;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
